#{"t_start": 1604598767.642422, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
41.0,41,2.840907
20.0,20,2.906339
15.0,15,2.965913
12.0,12,3.009857
13.0,13,3.058687
23.0,23,3.140721
56.0,56,3.361431
26.0,26,3.45323
30.0,30,3.558702
25.0,25,3.657338
32.0,32,3.775506
16.0,16,3.828241
17.0,17,3.883907
15.0,15,3.93469
17.0,17,3.988403
42.0,42,4.147587
24.0,24,4.226691
9.0,9,4.259896
17.0,17,4.337046
10.0,10,4.376109
26.0,26,4.48256
13.0,13,4.524551
24.0,24,4.606586
28.0,28,4.704245
34.0,34,4.821436
16.0,16,4.876125
14.0,14,4.921048
22.0,22,4.993316
11.0,11,5.02945
26.0,26,5.113437
31.0,31,5.212073
16.0,16,5.263832
18.0,18,5.338053
55.0,55,5.520676
18.0,18,5.590991
8.0,8,5.616382
15.0,15,5.664235
24.0,24,5.757988
16.0,16,5.807794
17.0,17,5.871273
21.0,21,5.936704
17.0,17,5.994323
13.0,13,6.0412
27.0,27,6.12714
23.0,23,6.197455
7.0,7,6.221869
18.0,18,6.280465
32.0,32,6.38789
18.0,18,6.442579
17.0,17,6.497268
41.0,41,6.653523
13.0,13,6.699423
8.0,8,6.723838
23.0,23,6.797082
15.0,15,6.844935
54.0,54,7.053926
25.0,25,7.148655
7.0,7,7.179906
25.0,25,7.273659
15.0,15,7.335184
28.0,28,7.426984
18.0,18,7.487533
27.0,27,7.584215
24.0,24,7.66332
12.0,12,7.70629
26.0,26,7.806878
22.0,22,7.877193
18.0,18,7.936765
18.0,18,8.010986
30.0,30,8.108646
50.0,50,8.266853
33.0,33,8.388928
17.0,17,8.443617
25.0,25,8.53737
63.0,63,8.754173
28.0,28,8.849879
25.0,25,8.947538
20.0,20,9.016876
11.0,11,9.054963
14.0,14,9.108676
16.0,16,9.177038
8.0,8,9.203406
19.0,19,9.266884
16.0,16,9.327434
14.0,14,9.383099
18.0,18,9.456343
16.0,16,9.520798
15.0,15,9.568651
20.0,20,9.634083
12.0,12,9.689749
15.0,15,9.745414
13.0,13,9.787408
55.0,55,13.812921
18.0,18,13.889095
34.0,34,14.012146
14.0,14,14.058045
41.0,41,14.199651
20.0,20,14.268013
80.0,80,14.525833
14.0,14,14.574662
25.0,25,14.658649
27.0,27,14.761192
17.0,17,14.817834
16.0,16,14.872523
28.0,28,14.963347
50.0,50,15.127414
39.0,39,15.258277
22.0,22,15.325662
40.0,40,15.460433
22.0,22,15.541489
50.0,50,15.705557
32.0,32,15.811028
20.0,20,15.874507
10.0,10,15.906735
44.0,44,16.049317
50.0,50,16.235847
55.0,55,16.407727
18.0,18,16.465346
27.0,27,16.550309
55.0,55,16.745628
13.0,13,16.795434
11.0,11,16.832544
53.0,53,16.999542
12.0,12,17.039582
12.0,12,17.079623
52.0,52,17.254432
54.0,54,17.429243
36.0,36,17.548386
34.0,34,17.674367
15.0,15,17.726126
