#{"t_start": 1603427655.2995253, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
14.0,14,1.383261
59.0,59,1.559422
10.0,10,1.588448
24.0,24,1.658511
30.0,30,1.751596
15.0,15,1.797638
26.0,26,1.873708
32.0,32,1.967793
24.0,24,2.036856
16.0,16,2.083899
18.0,18,2.136948
18.0,18,2.188995
25.0,25,2.261061
27.0,27,2.340133
11.0,11,2.372162
36.0,36,2.478259
28.0,28,2.56734
14.0,14,2.608377
15.0,15,2.652417
48.0,48,2.793546
19.0,19,2.873619
33.0,33,2.972709
14.0,14,3.014748
34.0,34,3.113838
37.0,37,3.221936
23.0,23,3.287997
23.0,23,3.355057
27.0,27,3.433129
21.0,21,3.494185
16.0,16,3.541228
33.0,33,3.636314
25.0,25,3.709381
24.0,24,3.777443
20.0,20,3.836497
80.0,80,4.099737
12.0,12,4.133768
13.0,13,4.171802
21.0,21,4.232858
36.0,36,4.338955
27.0,27,4.417026
18.0,18,4.469073
11.0,11,4.503104
35.0,35,4.606198
25.0,25,4.679265
20.0,20,4.757337
18.0,18,4.810384
22.0,22,4.874443
14.0,14,4.921486
12.0,12,4.957518
74.0,74,5.174716
19.0,19,5.228765
32.0,32,5.320849
11.0,11,5.352879
19.0,19,5.40893
19.0,19,5.46398
22.0,22,5.528039
25.0,25,5.601105
37.0,37,5.709204
21.0,21,5.769258
27.0,27,5.84833
11.0,11,5.887366
43.0,43,6.025492
25.0,25,6.10056
16.0,16,6.147603
16.0,16,6.194646
55.0,55,6.354792
20.0,20,6.411844
27.0,27,6.487913
8.0,8,6.511935
28.0,28,6.610025
26.0,26,6.684092
23.0,23,6.751153
26.0,26,6.834232
44.0,44,7.005385
35.0,35,7.119489
17.0,17,7.178544
15.0,15,7.221582
16.0,16,7.266624
18.0,18,7.318671
10.0,10,7.347697
17.0,17,7.396741
15.0,15,7.440782
10.0,10,7.469809
18.0,18,7.521856
33.0,33,40.137585
19.0,19,40.200643
36.0,36,40.317749
27.0,27,40.409832
21.0,21,40.470889
43.0,43,40.600006
54.0,54,40.766157
54.0,54,40.928306
28.0,28,41.00938
50.0,50,41.167523
45.0,45,41.297642
45.0,45,41.427761
53.0,53,41.603921
20.0,20,41.661975
42.0,42,41.782084
54.0,54,41.958245
27.0,27,42.050328
47.0,47,42.189455
38.0,38,42.299555
31.0,31,42.390638
20.0,20,42.448691
20.0,20,42.507746
22.0,22,42.576808
30.0,30,42.664888
32.0,32,42.756972
85.0,85,43.0062
98.0,98,43.306473
11.0,11,43.339504
74.0,74,43.556701
21.0,21,43.618758
53.0,53,43.772898
33.0,33,43.868986
19.0,19,43.923035
19.0,19,43.978085
13.0,13,44.015119
27.0,27,44.09319
12.0,12,44.128223
18.0,18,44.194282
22.0,22,44.262345
38.0,38,44.372445
23.0,23,44.440507
32.0,32,44.532591
51.0,51,44.681727
