#{"t_start": 1603450706.0690837, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
59.0,59,1.518384
12.0,12,1.553416
40.0,40,1.669522
50.0,50,1.814654
43.0,43,1.94177
16.0,16,1.987812
35.0,35,2.090906
32.0,32,2.186993
51.0,51,2.33713
26.0,26,2.4132
18.0,18,2.465247
15.0,15,2.507285
12.0,12,2.542317
14.0,14,2.583354
30.0,30,2.669433
43.0,43,2.796549
26.0,26,2.870616
18.0,18,2.927668
61.0,61,3.106832
20.0,20,3.164885
20.0,20,3.226941
14.0,14,3.268979
19.0,19,3.329034
25.0,25,3.405104
24.0,24,3.475168
40.0,40,3.622302
25.0,25,3.694367
38.0,38,3.822484
46.0,46,3.957608
12.0,12,3.99364
20.0,20,4.051693
18.0,18,4.10374
21.0,21,4.163795
53.0,53,4.317935
29.0,29,4.405015
28.0,28,4.499101
26.0,26,4.576171
42.0,42,4.701286
14.0,14,4.742322
35.0,35,4.846417
16.0,16,4.892459
44.0,44,5.02458
50.0,50,5.172715
27.0,27,5.252787
29.0,29,5.336864
19.0,19,5.403925
16.0,16,5.450968
14.0,14,5.49701
23.0,23,5.58409
42.0,42,5.707202
47.0,47,5.846329
41.0,41,5.966438
32.0,32,6.061525
64.0,64,6.248696
49.0,49,6.392827
34.0,34,6.492918
23.0,23,6.575994
42.0,42,6.700107
38.0,38,6.812209
21.0,21,6.873265
20.0,20,6.932319
32.0,32,7.025403
59.0,59,7.217579
28.0,28,7.301655
14.0,14,7.344694
11.0,11,7.375723
15.0,15,7.420764
28.0,28,7.502839
26.0,26,19.77002
43.0,43,19.896135
41.0,41,20.046273
18.0,18,20.100321
44.0,44,20.272478
24.0,24,20.346545
17.0,17,20.400595
44.0,44,20.535717
29.0,29,20.621796
32.0,32,20.715883
42.0,42,20.840996
21.0,21,20.903053
54.0,54,21.065201
25.0,25,21.139268
48.0,48,21.281398
17.0,17,21.332444
30.0,30,21.421525
27.0,27,21.500597
96.0,96,21.797869
100.0,100,22.092137
37.0,37,22.201236
32.0,32,22.295322
16.0,16,22.341364
28.0,28,22.423439
57.0,57,22.601601
97.0,97,22.897871
25.0,25,22.978945
11.0,11,23.011975
39.0,39,23.131084
32.0,32,23.22517
24.0,24,23.295233
13.0,13,23.334269
34.0,34,23.439365
42.0,42,23.573487
19.0,19,23.637545
42.0,42,23.776672
8.0,8,23.800694
19.0,19,23.855744
21.0,21,23.9168
49.0,49,24.05993
22.0,22,24.123989
28.0,28,24.205063
23.0,23,24.271123
29.0,29,24.357202
26.0,26,24.433271
41.0,41,24.551378
14.0,14,24.601424
29.0,29,24.687502
26.0,26,24.766575
47.0,47,24.9047
20.0,20,24.963754
81.0,81,25.215984
23.0,23,25.283045
45.0,45,25.414165
49.0,49,25.559298
42.0,42,25.682409
10.0,10,25.711436
45.0,45,25.842555
61.0,61,32.487612
53.0,53,32.643754
37.0,37,32.752854
35.0,35,32.854947
42.0,42,32.977058
15.0,15,33.020097
27.0,27,33.10017
39.0,39,33.215275
51.0,51,33.36341
53.0,53,33.524557
49.0,49,33.667687
57.0,57,33.836842
41.0,41,33.956952
63.0,63,34.143121
39.0,39,34.256224
48.0,48,34.397353
46.0,46,34.532476
96.0,96,34.818737
41.0,41,34.939847
47.0,47,35.077973
66.0,66,35.271149
60.0,60,35.44731
50.0,50,35.632479
70.0,70,35.836665
80.0,80,36.087894
40.0,40,36.202998
40.0,40,36.319104
60.0,60,36.492262
97.0,97,36.793537
32.0,32,36.887623
72.0,72,37.102819
79.0,79,37.333028
25.0,25,37.42211
61.0,61,37.628298
63.0,63,37.815468
55.0,55,37.989628
150.0,150,38.446043
58.0,58,45.172174
60.0,60,45.350336
99.0,99,45.641602
166.0,166,46.136052
66.0,66,46.33023
63.0,63,46.512395
73.0,73,46.744607
102.0,102,47.110942
79.0,79,47.343153
149.0,149,47.78956
100.0,100,48.087831
58.0,58,48.255985
38.0,38,48.365084
68.0,68,48.563264
134.0,134,48.957624
45.0,45,49.088744
54.0,54,49.246887
67.0,67,49.444067
97.0,97,49.739337
44.0,44,49.88547
79.0,79,50.114679
99.0,99,50.423961
91.0,91,50.693207
57.0,57,50.863362
95.0,95,51.159631
109.0,109,57.955826
112.0,112,58.309149
63.0,63,58.493316
88.0,88,58.785583
61.0,61,58.959741
