#{"t_start": 1602864012.9597578, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-848.292831,1000,8.307563
-703.711235,1000,19.098387
-713.361695,1000,29.963278
-489.520285,1000,40.952282
-5.605044,1000,51.844214
80.451662,1000,62.778152
39.722843,1000,73.825208
125.301148,1000,84.784185
78.107391,1000,95.976374
77.15528,1000,106.864286
106.942783,1000,117.713162
111.024103,1000,128.830283
98.21094,1000,139.618104
154.206268,1000,150.518027
184.087186,1000,161.424956
126.80915,1000,172.312868
134.834232,1000,183.220799
109.637536,1000,194.135736
198.665576,1000,204.965595
121.457145,1000,215.828484
251.442468,1000,226.751428
205.744521,1000,233.760809
272.298761,1000,244.69076
195.877365,1000,255.585678
339.618166,1000,266.409532
238.716805,1000,277.217372
286.957864,1000,305.316953
240.565972,1000,316.329978
233.381538,1000,327.200874
428.331864,1000,337.990697
385.840138,1000,348.91264
342.088501,1000,359.7435
268.972951,1000,370.56335
433.440537,1000,381.392208
444.259956,1000,392.203051
348.701984,1000,403.069944
280.131789,1000,413.879784
481.549843,1000,424.70364
643.702298,1000,435.59155
652.484242,1000,446.462447
829.534056,1000,457.326337
883.253855,1000,468.110154
785.552947,1000,475.131546
829.154816,1000,485.967412
800.264027,1000,496.837306
797.719701,1000,507.725218
794.778968,1000,518.500027
578.701057,1000,529.346902
886.954728,1000,540.209791
739.011337,1000,551.078686
884.236023,1000,561.925561
743.13081,1000,589.969091
744.06308,1000,600.900043
884.125216,1000,611.752922
548.470816,1000,622.551753
888.600234,1000,633.494715
885.422831,1000,644.430671
833.630753,1000,655.253524
887.761705,1000,666.183474
886.600207,1000,677.103416
795.342408,1000,687.846196
887.380069,1000,698.71509
882.173748,1000,709.614012
789.90289,1000,716.593366
890.243787,1000,727.477274
885.658308,1000,738.360182
882.773924,1000,749.310151
886.851466,1000,760.102976
887.274988,1000,770.987885
677.987246,1000,781.884806
888.148397,1000,792.79774
831.271325,1000,803.673642
885.590881,1000,814.610598
891.295749,1000,825.505517
749.502671,1000,836.363401
832.075604,1000,847.136209
885.537083,1000,857.963065
459.848162,1000,886.258825
625.141412,1000,897.148739
576.753305,1000,908.01363
770.954414,1000,918.92156
335.473722,1000,929.707379
545.400845,1000,940.582279
739.111973,1000,951.440164
637.910425,1000,962.237994
776.873953,1000,969.260387
825.430839,1000,980.134286
791.089916,1000,990.899086
832.144892,1000,1001.976171
875.559343,1000,1012.842063
831.695816,1000,1023.598855
831.392516,1000,1034.400689
829.309966,1000,1045.2876
823.883763,1000,1056.087432
660.15026,1000,1067.01538
675.333621,1000,1077.962346
684.924485,1000,1088.916318
625.533169,1000,1099.870291
788.193946,1000,1110.837275
879.701348,1000,1121.730191
883.92066,1000,1132.585073
834.072171,1000,1143.521029
883.661045,1000,1171.518517
691.283828,1000,1182.446465
886.058057,1000,1193.275324
885.493261,1000,1204.085165
744.315503,1000,1211.018476
635.492126,1000,1221.894378
829.398086,1000,1232.773282
878.567026,1000,1243.627163
888.792334,1000,1254.522081
831.239372,1000,1265.336926
676.848909,1000,1276.139762
885.928716,1000,1287.015662
888.204677,1000,1298.084739
826.532374,1000,1309.009685
692.404398,1000,1319.952647
778.281389,1000,1330.936646
780.880419,1000,1341.689436
470.33184,1000,1352.61238
681.532336,1000,1363.484277
770.702375,1000,1374.331152
535.15335,1000,1385.297135
589.573069,1000,1396.143008
322.530522,1000,1406.93083
685.007233,1000,1417.763692
663.264342,1000,1428.584543
466.016633,1000,1435.531868
399.398635,1000,1463.356198
690.582043,1000,1474.174046
821.193372,1000,1484.996899
819.493784,1000,1495.822755
816.325856,1000,1506.746699
826.409797,1000,1517.573555
832.375179,1000,1528.345362
606.401388,1000,1539.379407
682.555675,1000,1550.269321
826.864739,1000,1561.093175
831.20989,1000,1571.905017
825.122789,1000,1582.688835
813.690237,1000,1593.714872
822.123533,1000,1604.578763
828.47387,1000,1615.359577
828.028252,1000,1626.197444
594.707383,1000,1637.037312
883.997867,1000,1647.788099
886.638035,1000,1658.730061
756.440443,1000,1669.550911
723.099021,1000,1680.424811
835.316414,1000,1687.374138
697.402211,1000,1698.27406
890.288178,1000,1709.142955
829.68835,1000,1719.999839
833.420731,1000,1730.890753
830.687566,1000,1759.002346
786.088703,1000,1769.896263
827.02952,1000,1780.721118
825.239676,1000,1791.557983
781.439695,1000,1802.424876
771.490323,1000,1813.241723
888.176027,1000,1824.081592
304.699479,1000,1834.897438
889.856267,1000,1845.721292
658.913264,1000,1856.619213
590.764932,1000,1867.577189
888.979828,1000,1878.328977
883.270606,1000,1889.13982
784.207071,1000,1900.031735
714.634631,1000,1911.006726
886.911469,1000,1921.879625
634.903184,1000,1928.869988
776.144082,1000,1939.648801
480.853592,1000,1950.480662
699.626013,1000,1961.280494
