#{"t_start": 1604340718.4796832, "env_id": "SparseMountainCar-v0"}
r,l,t
0,200,3.606287
0,200,4.230856
0,200,15.992577
0,200,16.606136
0,200,17.231707
0,200,21.740817
0,200,22.365386
0,200,26.856479
0,200,27.479047
0,200,28.117629
0,200,32.624738
0,200,33.250307
0,200,37.879527
0,200,38.500093
0,200,39.152688
0,200,43.74087
0,200,44.395466
0,200,48.904577
0,200,49.537153
0,200,50.180739
0,200,54.828976
0,200,55.450543
3.08,188,56.035076
0,200,60.533175
0,200,61.165752
0,200,65.69488
0,200,66.334463
0,200,66.987059
4.16,176,71.456132
4.61,171,71.985615
3.53,183,72.56214
4.07,177,77.014198
0,200,77.644773
0,200,82.186913
3.62,182,82.76544
5.33,163,83.273903
4.7,170,87.678919
0,200,88.300485
5.87,157,88.790932
0,200,93.334073
0,200,93.959643
3.89,179,94.523157
0,200,99.038273
5.15,165,99.554743
5.6,160,100.054199
0,200,104.600342
0,200,105.239926
0,200,109.741029
0,200,110.370602
5.78,158,110.871058
0,200,115.406192
6.32,152,115.874619
5.96,156,116.367068
6.14,154,120.728042
0,200,121.356615
2.99,189,121.96517
6.41,151,126.394207
0,200,127.027785
6.5,150,127.497213
6.05,155,131.906231
6.23,153,132.377661
6.05,155,132.861101
6.5,150,137.245098
6.32,152,137.722533
6.41,151,138.211979
0,200,142.719087
6.77,147,143.178506
5.06,166,143.692975
6.05,155,144.174413
0,200,148.752587
5.78,158,149.249039
6.59,149,149.716465
6.68,148,154.079442
3.98,178,154.635949
0,200,155.265523
2.72,192,159.790648
6.86,146,160.303115
6.68,148,160.774544
6.32,152,165.188568
6.59,149,165.653992
6.59,149,166.12342
5.42,162,170.492402
0,200,171.128982
5.6,160,171.629438
6.32,152,175.99742
2.27,197,176.626994
6.95,145,177.078406
0,200,181.663584
6.14,154,182.15203
6.41,151,182.640475
0,200,187.194626
6.5,150,187.675064
6.68,148,188.143491
7.04,144,192.492455
6.32,152,192.986906
6.05,155,193.47435
6.95,145,193.926763
6.23,153,198.299748
5.87,157,198.798203
6.32,152,199.276639
6.59,149,203.620598
6.95,145,204.081018
6.95,145,204.540437
6.86,146,205.012867
6.41,151,209.396864
6.32,152,209.871296
3.71,181,210.448822
5.87,157,214.858842
3.53,183,215.432364
6.5,150,215.905796
4.16,176,220.375871
3.71,181,220.949393
7.04,144,221.405809
11.54,94,221.699077
6.59,149,226.067058
6.95,145,226.523474
6.5,150,226.999908
6.41,151,231.383904
6.68,148,231.845325
5.51,161,232.346782
6.23,153,236.715764
5.87,157,237.213218
5.87,157,237.717677
6.5,150,238.20312
6.32,152,242.571102
6.68,148,243.092577
6.5,150,243.580021
6.5,150,247.985036
6.68,148,248.466475
6.86,146,248.956922
6.77,147,249.419343
6.77,147,253.761301
6.41,151,254.230729
6.68,148,254.691149
7.22,142,259.024098
6.5,150,259.495528
6.41,151,259.967958
6.68,148,264.30391
9.65,115,264.66524
6.59,149,265.133667
6.68,148,265.606097
6.68,148,269.977082
9.47,117,270.342415
6.23,153,270.822852
5.87,157,271.324311
6.41,151,275.677278
7.31,141,276.134695
5.51,161,276.633149
6.59,149,280.987117
9.47,117,281.358455
5.24,164,281.878931
7.94,134,282.304318
5.24,164,286.718341
6.86,146,287.173756
5.96,156,287.656195
5.78,158,298.284884
9.83,113,298.672237
4.52,172,299.217734
11.81,91,299.497991
5.78,158,303.888992
9.56,116,304.252323
5.87,157,304.745772
6.14,154,309.10875
9.74,114,309.470079
5.33,163,309.983547
7.85,135,310.405932
11.27,97,314.599755
7.67,137,315.030147
6.5,150,315.500576
5.96,156,315.991023
5.51,161,320.38703
10.19,109,320.726339
6.41,151,321.201772
6.5,150,325.54373
10.91,101,325.87303
11.99,89,326.151284
5.15,165,326.664752
9.38,118,327.030085
7.85,135,331.334008
5.78,158,331.823454
9.65,115,332.184783
6.59,149,336.538752
8.66,126,336.935113
9.11,121,337.308454
9.38,118,337.674788
7.76,136,338.14922
2.09,199,342.734399
6.77,147,343.197822
9.74,114,343.574165
5.15,165,347.985185
9.83,113,348.333503
9.47,117,348.706844
6.41,151,349.196289
9.29,119,353.434152
9.11,121,353.822506
9.2,120,354.205855
9.2,120,354.5842
9.83,113,358.831071
5.24,164,359.354549
6.05,155,359.842993
8.93,123,360.230347
9.74,114,364.49123
4.61,171,365.027719
9.65,115,365.385045
9.65,115,365.739368
10.28,108,370.015265
7.67,137,370.440656
9.83,113,370.791974
6.41,151,371.276415
5.24,164,375.696444
9.56,116,376.070785
9.83,113,376.437119
9.83,113,376.832479
5.51,161,381.657878
9.74,114,382.061246
9.65,115,382.445596
11.99,89,382.733858
5.24,164,387.293013
9.29,119,387.730413
9.56,116,388.162807
9.74,114,388.599205
6.41,151,393.92234
8.48,128,394.46142
9.56,116,394.924324
9.65,115,395.39016
9.65,115,400.712869
3.17,187,401.50641
9.11,121,402.086628
9.2,120,402.619405
10.1,110,407.864563
11.27,97,408.293329
5.51,161,409.009208
