#{"t_start": 1604348197.2955256, "env_id": "SparseMountainCar-v0"}
r,l,t
0,200,2.105533
0,200,2.780359
0,200,14.502395
0,200,15.202612
0,200,15.889156
0,200,20.52504
0,200,21.225256
0,200,25.889461
0,200,26.561357
0,200,27.255714
0,200,31.932615
0,200,32.624042
0,200,37.293129
0,200,37.987486
0,200,38.67989
0,200,43.467145
0,200,44.155643
0,200,48.798362
0,200,49.49272
0,200,50.19196
0,200,54.862024
0,200,55.565171
0,200,56.245855
0,200,60.912013
0,200,61.61223
0,200,66.279364
0,200,66.965909
0,200,67.665149
0,200,72.302009
0,200,72.998319
0,200,77.627366
0,200,78.327583
0,200,79.006315
0,200,83.647081
0,200,84.319953
0,200,89.00955
0,200,89.684375
0,200,90.361153
0,200,94.960902
0,200,95.665025
0,200,100.293097
0,200,100.979641
0,200,101.658372
0,200,106.283513
0,200,106.978847
0,200,107.669298
0,200,112.296392
0,200,112.980983
0,200,117.649095
0,200,118.337592
0,200,119.003627
0,200,123.689317
0,200,124.362189
0,200,129.002956
0,200,129.68657
0,200,130.365302
0,200,135.096891
0,200,135.781483
0,200,140.391975
0,200,141.073636
0,200,141.755298
0,200,146.424385
0,200,147.094327
0,200,147.791614
0,200,152.462655
0,200,153.167756
0,200,157.825123
0,200,158.526317
5.69,159,159.065396
0,200,163.729601
0,200,164.419074
0,200,169.008081
0,200,169.677047
0,200,170.349919
0,200,175.069789
0,200,175.759263
0,200,176.445808
0,200,181.082668
5.78,158,181.628583
5.51,161,186.153135
0,200,186.837726
5.69,159,187.397313
6.5,150,191.887685
0,200,192.582042
5.96,156,193.122097
6.59,149,193.637738
6.32,152,198.213073
0,200,198.971885
5.06,166,203.508156
2.9,190,204.155637
6.41,151,204.672254
0,200,209.351108
0,200,210.014214
5.06,166,210.575755
5.87,157,215.112025
0,200,215.80443
6.14,154,216.327883
0,200,220.978415
5.42,162,221.538979
0,200,222.235289
6.23,153,226.723707
6.59,149,227.238371
6.41,151,227.756942
6.86,146,232.232666
6.86,146,232.727797
6.23,153,233.26004
0,200,238.021903
6.5,150,238.576607
6.32,152,239.094201
6.59,149,239.627422
6.59,149,244.110957
6.23,153,244.627573
6.5,150,245.139307
6.68,148,249.634562
6.41,151,250.159969
6.59,149,250.665844
6.68,148,251.205899
6.68,148,255.688457
6.77,147,256.173824
6.59,149,256.685558
6.68,148,261.239408
6.86,146,261.742353
7.22,142,262.225766
5.6,160,262.776564
6.5,150,267.439793
6.77,147,267.943714
0,200,268.624399
0,200,273.307159
7.04,144,273.796431
6.32,152,274.324768
6.32,152,278.796584
6.86,146,279.294646
7.13,143,279.781966
6.23,153,284.27429
6.95,145,284.777235
7.04,144,285.270414
7.13,143,285.75578
6.86,146,290.199275
7.04,144,290.681712
6.41,151,291.205165
7.13,143,295.611549
5.96,156,296.144768
6.77,147,296.640878
7.22,142,297.136986
7.31,141,308.418582
7.31,141,308.9059
7.49,139,309.39029
7.31,141,313.798627
3.44,184,314.430482
7.22,142,314.911944
7.13,143,315.422701
7.31,141,320.008777
7.31,141,320.529301
2.45,195,321.231471
4.61,171,325.79997
7.49,139,326.282406
7.13,143,326.756053
7.49,139,331.17611
7.31,141,331.662452
6.77,147,332.15368
4.16,176,332.761119
7.22,142,337.246608
6.23,153,337.767132
6.68,148,338.286679
2.63,193,342.920608
6.95,145,343.42746
7.13,143,343.90599
6.95,145,348.33093
7.22,142,348.807507
5.24,164,349.37393
7.31,141,349.848554
7.22,142,354.32623
7.31,141,354.817456
6.59,149,355.360441
7.04,144,359.818585
7.13,143,360.312742
7.76,136,360.783457
7.4,140,361.271754
7.76,136,365.700599
7.31,141,366.181084
7.31,141,366.651801
7.13,143,367.14498
7.04,144,371.586521
7.31,141,372.067005
7.49,139,372.533816
8.12,132,376.909926
7.13,143,377.408964
7.76,136,377.879682
7.31,141,378.362118
6.86,146,382.790964
7.31,141,383.277308
9.83,113,383.658179
5.15,165,384.221672
6.86,146,388.661261
8.93,123,389.083149
7.13,143,389.558749
0,200,394.191702
8.93,123,394.609684
9.65,115,395.005204
9.47,117,395.412443
2.18,198,400.049303
6.41,151,400.551271
6.77,147,401.068865
2.45,195,405.64713
6.68,148,406.151051
3.53,183,406.768258
7.31,141,411.192221
5.6,160,411.749855
0,200,412.420774
7.04,144,416.890637
6.95,145,417.398465
3.53,183,418.02739
6.68,148,422.477721
9.92,112,422.850779
6.77,147,423.351771
9.83,113,423.735572
9.65,115,424.117419
0,200,428.790413
9.92,112,429.184957
6.95,145,429.709386
9.92,112,434.073777
6.32,152,434.586488
9.92,112,434.972243
3.35,185,435.589449
6.5,150,440.03392
3.17,187,440.672611
2.18,198,445.605379
9.38,118,446.057542
9.92,112,446.481383
7.58,138,446.955029
10.01,111,447.359339
9.92,112,451.916118
10.19,109,452.310662
9.83,113,452.725713
9.11,121,453.157367
6.86,146,457.856729
9.74,114,458.315727
6.95,145,458.897776
6.68,148,459.434902
7.22,142,464.199695
6.86,146,464.722172
9.92,112,465.124529
9.83,113,465.536651
6.77,147,470.069015
9.65,115,470.457699
9.56,116,470.842476
9.65,115,471.247762
6.5,150,475.832863
7.04,144,476.417841
6.41,151,477.016493
9.74,114,477.44717
5.78,158,482.159228
9.65,115,482.585999
10.1,110,483.04988
9.74,114,483.461025
7.13,143,488.046126
9.74,114,488.43188
9.74,114,488.81861
9.29,119,489.222919
9.83,113,493.71622
9.83,113,494.095138
9.83,113,494.476009
9.74,114,494.883249
4.7,170,499.743748
9.65,115,500.143174
9.92,112,500.514279
6.23,153,501.028943
10.01,111,505.432398
9.74,114,505.824011
9.38,118,506.222461
9.92,112,506.611144
9.92,112,506.981273
6.77,147,511.44723
9.92,112,511.835913
4.88,168,512.392571
2.72,192,517.028454
10.1,110,517.408349
5.87,157,517.937662
9.74,114,518.330252
9.2,120,522.756168
9.92,112,523.132156
9.92,112,523.525723
9.74,114,523.914407
6.32,152,528.416497
6.59,149,528.912605
3.35,185,529.540555
9.74,114,529.921425
9.56,116,534.306325
9.47,117,534.695009
9.74,114,535.100294
6.14,154,535.620818
9.92,112,539.984232
9.38,118,540.382681
9.74,114,540.768436
9.38,118,541.186417
8.93,123,545.594757
9.65,115,546.00297
3.08,188,546.660216
9.83,113,547.058666
6.32,152,551.525599
4.07,177,552.136946
3.8,180,552.754153
7.22,142,557.206437
5.96,156,557.734773
9.65,115,558.117598
9.83,113,558.492609
2.54,194,563.131422
9.38,118,563.534755
8.75,125,563.964455
9.56,116,568.294665
8.12,132,568.734132
6.23,153,569.259538
5.15,165,569.81229
9.83,113,574.168868
9.38,118,574.580013
9.83,113,574.957954
9.74,114,575.355428
9.74,114,579.713959
6.32,152,580.221787
3.71,181,580.820438
10.01,111,581.190566
6.41,151,585.730744
8.66,126,586.159468
10.01,111,586.534479
9.83,113,586.911443
9.74,114,591.274858
6.32,152,591.78171
6.32,152,592.289537
2.27,197,603.500816
9.83,113,603.88364
9.74,114,604.270371
9.92,112,604.64636
2.99,189,609.238296
8.12,132,609.684598
9.38,118,610.089885
9.65,115,610.469779
9.47,117,614.819521
9.65,115,615.211134
8.93,123,615.62521
9.74,114,616.007057
9.02,122,616.423086
2.81,191,621.061898
9.65,115,621.44277
8.75,125,621.877353
9.83,113,626.29448
9.65,115,626.683163
9.38,118,627.103098
9.02,122,627.519126
9.65,115,627.90781
9.92,112,632.222395
5.78,158,632.745848
9.29,119,633.159924
9.92,112,633.535912
9.74,114,637.893466
9.29,119,638.298752
9.47,117,638.694272
9.83,113,639.087839
8.75,125,643.510825
3.71,181,644.129984
9.83,113,644.504996
9.83,113,644.885867
10.1,110,649.193615
9.56,116,649.594995
9.83,113,649.983678
9.83,113,650.365526
9.29,119,650.764952
5.6,160,655.277786
9.92,112,655.650844
9.65,115,656.031714
5.51,161,660.523062
9.29,119,660.925419
10.01,111,661.302383
9.56,116,661.691067
9.92,112,662.076821
9.92,112,666.46172
9.11,121,666.864076
9.83,113,667.265455
9.29,119,667.667811
9.65,115,672.063453
9.92,112,672.439441
9.29,119,672.836914
9.56,116,673.250989
9.65,115,673.633813
9.74,114,677.92496
9.47,117,678.310714
9.83,113,678.693538
5.06,166,679.259962
9.11,121,683.650721
9.47,117,684.0521
9.56,116,684.443713
9.2,120,684.851929
5.6,160,689.374527
9.02,122,689.772977
9.65,115,690.158731
9.74,114,690.531789
10.01,111,694.842467
9.29,119,695.249707
9.47,117,695.649133
5.42,162,696.202861
9.29,119,700.606315
3.26,186,701.23817
9.11,121,701.660058
9.56,116,702.054602
9.74,114,706.397508
9.83,113,706.778378
11.18,98,707.109443
9.65,115,707.49422
9.74,114,711.814665
9.65,115,712.200419
9.74,114,712.579336
10.01,111,712.941653
9.65,115,713.336195
9.29,119,717.677148
10.01,111,718.056066
5.87,157,718.594168
5.51,161,719.161568
5.6,160,723.677331
9.29,119,724.114844
11.81,91,724.447862
10.1,110,724.837523
5.42,162,729.574971
9.83,113,729.998813
9.02,122,730.42949
4.97,167,735.004825
9.47,117,735.41597
5.69,159,735.953095
5.51,161,736.490222
9.74,114,740.813596
2.99,189,741.456193
9.83,113,741.830228
9.56,116,742.223796
11.99,89,746.512011
10.1,110,746.894836
9.83,113,747.294261
9.29,119,747.700525
9.83,113,748.088231
11.81,91,752.340314
4.52,172,752.906737
9.83,113,753.298351
11.72,92,753.605978
9.74,114,757.941071
9.65,115,758.341473
6.59,149,758.842465
9.56,116,759.244821
10.1,110,763.618001
9.38,118,764.02817
9.56,116,764.422714
9.83,113,764.803585
12.08,88,765.120001
5.87,157,769.641622
12.35,85,769.929717
12.26,86,770.225624
3.8,180,770.836971
10.91,101,775.154486
9.11,121,775.568561
9.92,112,775.933807
12.08,88,776.237527
9.29,119,776.640859
9.2,120,780.995484
9.47,117,781.39491
11.45,95,781.715232
9.92,112,782.095127
9.29,119,786.445846
11.9,90,786.748589
12.08,88,787.048403
9.65,115,787.438064
9.02,122,787.83749
12.08,88,792.07883
9.02,122,792.492905
9.74,114,792.886472
9.11,121,793.309336
9.65,115,793.691184
4.97,167,798.179601
9.83,113,798.554613
8.93,123,798.995056
9.65,115,799.413038
12.08,88,803.691488
9.74,114,804.070406
11.63,93,804.397565
9.38,118,804.806757
12.17,87,805.099734
9.56,116,809.457289
5.33,163,810.008088
4.79,169,810.575488
11.9,90,814.843195
9.56,116,815.251411
9.29,119,815.662556
9.56,116,816.047334
9.02,122,816.459455
9.38,118,820.766227
9.47,117,821.156864
11.09,99,821.495742
12.08,88,821.79458
11.9,90,822.101229
9.47,117,826.440228
9.56,116,826.833796
12.26,86,827.140445
9.29,119,827.561357
9.2,120,831.934537
5.69,159,832.487288
11.99,89,832.799798
9.38,118,833.223638
9.2,120,833.662128
9.38,118,838.037262
5.15,165,838.59099
9.11,121,838.995299
11.81,91,839.314645
9.38,118,843.690754
9.38,118,844.081391
12.08,88,844.377299
9.29,119,844.80114
12.08,88,845.099977
11.27,97,849.48097
12.17,87,849.772971
11.72,92,850.092317
11.27,97,850.424358
11.72,92,850.733938
11.72,92,855.237005
11.81,91,855.569046
4.88,168,856.199924
5.15,165,856.805412
8.93,123,861.300666
12.17,87,861.609269
9.56,116,862.03018
8.93,123,862.454022
11.72,92,862.771414
4.79,169,867.336983
8.84,124,867.755941
